?	liquid	tnk_failure_pressure	liquid_ratio	tnk_width	tnk_length	tnk_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_dist
G66	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	24
G67	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	25
G68	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	26
G69	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	27
G70	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	28
G71	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	29
G72	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	30
G73	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	31
G74	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	32
G75	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	33
G76	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	34
G77	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	35
G78	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	36
G79	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	37
G80	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	38
G81	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	39
G82	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	40
G83	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	41
G84	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	42
G85	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	43
G86	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	44
G87	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	45
G88	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	46
G89	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	47
G90	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	48
G91	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	49
G92	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1	50
G93	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	5
G94	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	6
G95	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	7
G96	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	8
G97	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	9
G98	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	10
G99	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	11
G100	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	12
G101	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	13
G102	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	14
G103	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	15
G104	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	16
G105	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.4	17
